"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"San Lorenzo Unified Preschool","San Lorenzo Unified","20450 Royal Ave.","Hayward","CA","94541","Regular School","New","Other","Alameda County","","","","","No","","Unknown","","","","063471014128","Suburban, Large","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lazear Charter Academy","Alameda County Office of Education","824 29th Ave.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","463","22.20","20.86","No","422","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6441","069105104288","City, Large","","Charter school","","","","463","","120","98","98","76","106","112","98","110","108","","","","","","0","","24","840","42","10","2","","8","2.59","90.71","4.54","1.08","0.22","","0.86","","",""
"Alameda County Special Education","Alameda County Office of Education","313 W. Winton Ave.","Hayward","CA","94544","Special Education School","Open","Other","Alameda County","","","","","No","","Not Title I Eligible School","","Not a Title I school","","069105108672","City, Midsize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alameda County Juvenile Hall/Court","Alameda County Office of Education","2500 Fairmont Ave.","San Leandro","CA","94578","Alternative School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","73","10.00","7.30","No","70","Title I Eligible School","School-wide Title I","Title I schoolwide school","","069105109264","Suburban, Large","","","","","","73","","0","0","0","0","0","0","0","2","2","6","16","50","70","","0","","8","24","102","4","0","0","8","5.48","16.44","69.86","2.74","0.00","0.00","5.48","","",""
"Yu Ming Charter","Alameda County Office of Education","1086 Alcatraz Ave.","Oakland","CA","94608","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","387","20.15","19.21","No","53","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/6432","069105112901","City, Large","","Charter school","","","","387","","156","104","104","106","100","88","56","60","0","","","","","","0","","64","34","38","370","0","2","266","8.27","4.39","4.91","47.80","0.00","0.26","34.37","","",""
"Urban Montessori Charter","Alameda County Office of Education","5328 Brann St.","Oakland","CA","94619","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","448","15.00","29.87","No","127","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/6954","069105113008","City, Large","","Charter school","","","","448","","180","142","152","142","104","94","54","28","0","","","","","","0","","272","238","174","58","6","2","146","30.36","26.56","19.42","6.47","0.67","0.22","16.29","","",""
"Oakland Unity Middle","Alameda County Office of Education","7200 Bancroft Ave.","Oakland","CA","94605","Regular School","Open","Middle","Alameda County","6, 7, 8","179","6.80","26.32","No","153","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2001","069105113887","City, Large","","Charter school","","","","179","","","","","","","","104","132","122","","","","","","0","","6","294","48","6","","","4","1.68","82.12","13.41","1.68","","","1.12","","",""
"Opportunity Charter","Alameda County Office of Education","2300 International Blvd.","Oakland","CA","94601","Alternative School","New","High","Alameda County","10, 11, 12","23","","","No","18","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/2565","069105114090","City, Large","","Charter school","","Virtual school","","23","","","","","","","","","","","","0","2","44","","0","","2","14","26","2","0","0","2","4.35","30.43","56.52","4.35","0.00","0.00","4.35","Not all female high school","Majority minority high school","Inner city high school"
"Mission Valley Elementary","Fremont Unified","41700 Denise St.","Fremont","CA","94539","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","709","30.00","23.63","No","66","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/95","061440001679","Suburban, Large","","","","","","709","","226","200","182","168","200","188","254","","","","","","","","0","","68","72","12","1240","2","2","22","4.80","5.08","0.85","87.45","0.14","0.14","1.55","","",""
"Cabrillo Elementary","Fremont Unified","36700 San Pedro Dr.","Fremont","CA","94536","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","426","20.00","21.30","No","217","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/72","061440001659","Suburban, Large","","","","","","426","","154","102","142","102","132","128","92","","","","","","","","0","","102","342","28","308","8","30","34","11.97","40.14","3.29","36.15","0.94","3.52","3.99","","",""
"H. A. Snow Elementary","Newark Unified","6580 Mirabeau Dr.","Newark","CA","94560","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","360","13.00","27.69","No","192","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/183","062706004092","Suburban, Large","","","","","","360","","98","96","110","102","92","130","92","","","","","","","","0","","86","416","24","136","","20","38","11.94","57.78","3.33","18.89","","2.78","5.28","","",""
"Treeview Elementary","Hayward Unified","30565 Treeview St.","Hayward","CA","94544","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","500","19.00","26.32","No","343","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/138","061674002136","City, Midsize","","","","","","500","","142","178","128","160","144","118","130","","","","","","","","0","","66","552","90","232","2","18","40","6.60","55.20","9.00","23.20","0.20","1.80","4.00","","",""
"Faith Ringgold School of Arts and Science","Hayward Unified","1570 Ward St.","Hayward","CA","94541","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8","140","6.15","22.76","No","101","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/122","061674005622","City, Midsize","","","","","","140","","34","22","24","26","26","40","26","34","48","","","","","","0","","12","180","38","20","","2","28","4.29","64.29","13.57","7.14","","0.71","10.00","","",""
"Markham Elementary","Oakland Unified","7220 Krause Ave.","Oakland","CA","94605","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","340","12.00","28.33","Yes under Community Eligibility Option (CEO)","329","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/237","062805004296","City, Large","","","","","","340","","122","108","130","106","124","90","","","","","","","","","0","","6","458","184","8","2","4","18","0.88","67.35","27.06","1.18","0.29","0.59","2.65","","",""
"Southgate Elementary","Hayward Unified","26601 Calaroga Ave.","Hayward","CA","94545","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6","681","28.00","24.32","No","406","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/135","061674002132","City, Midsize","","","","","","681","","214","202","206","168","220","174","178","","","","","","","","0","","80","608","114","378","8","94","80","5.87","44.64","8.37","27.75","0.59","6.90","5.87","","",""
"Donald D. Lum Elementary","Alameda Unified","420 Grand St.","Alameda","CA","94501","Regular School","Open","Primary","Alameda County","4, 5","87","","","No","30","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/12","060177000051","Suburban, Large","","","","","","87","","","","","","64","110","","","","","","","","","0","","34","32","6","72","","","30","19.54","18.39","3.45","41.38","","","17.24","","",""
"William Mendenhall Middle","Livermore Valley Joint Unified","1701 El Padro Dr.","Livermore","CA","94550","Regular School","Open","Middle","Alameda County","6, 7, 8","975","38.97","25.02","No","107","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/153","062211002636","Suburban, Small","","","","","","975","","","","","","","","626","666","658","","","","","","0","","1192","348","16","210","4","4","176","61.13","17.85","0.82","10.77","0.21","0.21","9.03","","",""
"Island High (Continuation)","Alameda Unified","500 Pacific Ave.","Alameda","CA","94501","Alternative School","Open","High","Alameda County","9, 10, 11, 12","111","9.46","11.73","No","58","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/9","060177000048","Suburban, Large","","","","","","111","","","","","","","","","","","0","4","68","150","","0","","46","88","46","26","2","4","10","20.72","39.64","20.72","11.71","0.90","1.80","4.50","Not all female high school","Majority minority high school","Not inner city high school"
"Achieve Academy","Oakland Unified","1700 28th Ave.","Oakland","CA","94621","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","675","32.16","20.99","No","642","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/7066","062805011561","City, Large","","Charter school","","","","675","","244","176","238","218","236","238","","","","","","","","","0","","26","1220","36","56","4","4","4","1.93","90.37","2.67","4.15","0.30","0.30","0.30","","",""
"Mission San Jose High","Fremont Unified","41717 Palm Ave.","Fremont","CA","94539","Regular School","Open","High","Alameda County","9, 10, 11, 12","2014","81.01","24.86","No","118","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/94","061440001678","Suburban, Large","Magnet school","","","","","2014","","","","","","","","","","","1004","994","978","1052","","0","","186","60","10","3726","6","4","36","4.62","1.49","0.25","92.50","0.15","0.10","0.89","Not all female high school","Majority minority high school","Not inner city high school"
"Rancho Las Positas Elementary","Livermore Valley Joint Unified","401 E. Jack London Blvd.","Livermore","CA","94551","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","602","25.00","24.08","No","136","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/157","062211002632","Suburban, Small","","","","","","602","","252","214","204","164","170","200","","","","","","","","","0","","554","392","16","116","6","","120","46.01","32.56","1.33","9.63","0.50","","9.97","","",""
"Home and Hospital Program","Oakland Unified","1011 Union St.","Oakland","CA","94607","Regular School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","7","","","No","","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/5135","062805012610","City, Large","","","","","","7","","0","0","0","0","0","4","0","4","0","0","0","2","2","","0","2","2","4","2","6","0","0","0","14.29","28.57","14.29","42.86","0.00","0.00","0.00","","",""
"Donlon Elementary","Pleasanton Unified","4150 Dorman Rd.","Pleasanton","CA","94588","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","814","32.00","25.44","No","55","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/280","060002009283","City, Small","","","","","","814","","254","252","258","256","272","336","","","","","","","","","0","","548","110","16","836","","8","110","33.66","6.76","0.98","51.35","","0.49","6.76","","",""
"Think College Now","Oakland Unified","2825 International Blvd.","Oakland","CA","94601","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","307","13.00","23.62","Yes under Community Eligibility Option (CEO)","276","Title I Eligible School","School-wide Title I","Title I schoolwide school","http://www.greatschools.net/modperl/browse_school/CA/2557","062805011294","City, Large","","","","","","307","","104","84","92","96","118","120","","","","","","","","","0","","14","410","106","60","2","2","20","2.28","66.78","17.26","9.77","0.33","0.33","3.26","","",""
